,Unnamed: 0,date,section,title,view
19081,19081,20200819,politics,"[단독] 나랏빚 130억 갚겠다던 조국 일가, 전화는 불통 중",471029
13950,13950,20200623,politics,"[단독]대선주자 묻자…김종인, 잠시 침묵한뒤 ""백종원 어때요""",468548
7290,7290,20200410,politics,"""1번 찍어라, 정권 바뀌면 다 죽어"" 계엄문건 합수단 인사들 발언",468360
9630,9630,20200506,politics,"장제원 ""이낙연, 이천 유가족과 나눈 대화…등골 오싹하다""",466905
6302,6302,20200330,politics,소득 하위 70% 가구에 100만원씩 생계지원금 지급,464248
15391,15391,20200709,politics,"""박시장이 성추행 하고 사진을 보냈어요"" 前비서 경찰에 고소",463716
3420,3420,20200227,politics,100만 돌파 ‘문재인 탄핵’ 청원…뒤쫓는 “文 응원해요”,463199
16110,16110,20200717,politics,"진성준 ""그래봤자 집값 안떨어져""···마이크 꺼지자 드러난 與속…",462470
13230,13230,20200615,politics,"'냉면 처먹는다'에 열받은 친문들 ""감히 대통령님께…""",461750
17010,17010,20200727,politics,"월북 20대, 한달 전 유튜브서 ""개성공단 폐쇄로 힘들어 탈북""",457969
19890,19890,20200828,politics,"정부, 수도권 2단계 거리두기 1주 연장…음식점·카페 운영제한(종…",457510
9270,9270,20200502,politics,"[속보] 사망설 김정은, 비료공장 준공식 참석…김여정이 수행",457048
19980,19980,20200829,politics,[단독]의대생 논란 이어…KBS·경찰위원도 시민단체가 추천하나,456233
19170,19170,20200820,politics,"[속보]국정원 ""北, 김여정이 위임 통치…후계자 결정은 안돼""",455887
4410,4410,20200309,politics,"""어제 남편이 죽었다네요"" 안철수가 전한 어느 확진부부 사연",448939
721,721,20200128,politics,“민주당 2호 인재 원종건의 실체입니다” 미투 폭로 확산,448883
19171,19171,20200820,politics,"국정원 ""북한 김정은, 김여정에 권한 위임…스트레스 탓"" [종합]",445288
17640,17640,20200803,politics,"[단독] 월세 몸소 실천한다던 윤준병, 알고보니 정읍 지역구",445109
15483,15483,20200710,politics,"""XX 자식""···이해찬, 박원순 성추행 의혹 묻자 ""예의 없다"" 분…",440166
6303,6303,20200330,politics,[전문]文대통령 “소득하위 70%에 4인가구 기준 100만원 지급”,438298
4320,4320,20200308,politics,"이재명 ""종교집회 전면금지 어때？""→ 진중권 ""방역이나 하시지""",437566
16020,16020,20200716,politics,국회서 문대통령에 남성이 신발 던져 …'경호허점'(종합),435815
7470,7470,20200412,politics,“고민정이랑 억수로 친하지만…” 김제동이 미래당 찾아 한 말,433461
9271,9271,20200502,politics,"""김정은 못걸어""""99% 사망""…머쓱해진 北출신 태영호·지성호",433198
3782,3782,20200302,politics,"""안철수 의사 면허 살아있다""",431530
18270,18270,20200810,politics,"물난리가 소환한 MB 4대강 논쟁···""효과 있다"" ""낙동강 터졌다""",430606
3961,3961,20200304,politics,"[전문] 박근혜 “거대 야당 중심, 태극기 힘 합쳐달라···나도 함…",428423
3060,3060,20200223,politics,문 대통령 “코로나19 대응 ‘심각’ 단계로 올려”,426054
18180,18180,20200809,politics,'문 대통령이 이상하다' 진중권 결정적으로 실망하게 한 발언 3,425003
9180,9180,20200501,politics,"지성호 “김정은, 지난 주말 수술 쇼크로 사망했다”",424231
