code,province,date,avg_relative_humidity
135,Chungcheongbuk-do,2020-06-05,62.5
136,Gyeongsangbuk-do,2020-06-05,61.6
137,Gyeongsangbuk-do,2020-06-05,64.1
138,Gyeongsangbuk-do,2020-06-05,77.4
140,Jeollabuk-do,2020-06-05,89.5
143,Daegu,2020-06-05,61
146,Jeollabuk-do,2020-06-05,75.8
152,Ulsan,2020-06-05,67.8
155,Gyeongsangnam-do,2020-06-05,73.3
156,Gwangju,2020-06-05,78.6
159,Busan,2020-06-05,79.6
162,Gyeongsangnam-do,2020-06-05,79.5
165,Jeollanam-do,2020-06-05,90.3
168,Jeollanam-do,2020-06-05,80.6
169,Jeollanam-do,2020-06-05,95.4
170,Jeollanam-do,2020-06-05,82.3
172,Jeollabuk-do,2020-06-05,87
174,Jeollanam-do,2020-06-05,77.5
177,Chungcheongnam-do,2020-06-05,81
184,Jeju-do,2020-06-05,92.9
185,Jeju-do,2020-06-05,98
188,Jeju-do,2020-06-05,87
189,Jeju-do,2020-06-05,98.4
192,Gyeongsangnam-do,2020-06-05,72.3
201,Incheon,2020-06-05,83.8
202,Gyeonggi-do,2020-06-05,67.3
203,Gyeonggi-do,2020-06-05,72.4
211,Gangwon-do,2020-06-05,68.6
212,Gangwon-do,2020-06-05,64.9
216,Gangwon-do,2020-06-05,70.6
217,Gangwon-do,2020-06-05,70.3
221,Chungcheongbuk-do,2020-06-05,64.9
226,Chungcheongbuk-do,2020-06-05,69.4
232,Chungcheongnam-do,2020-06-05,67.3
235,Chungcheongnam-do,2020-06-05,91.8
236,Chungcheongnam-do,2020-06-05,81.5
238,Chungcheongnam-do,2020-06-05,68.6
239,Sejong,2020-06-05,72.5
243,Chungcheongnam-do,2020-06-05,89
244,Jeollabuk-do,2020-06-05,78.6
245,Jeollabuk-do,2020-06-05,78.3
247,Jeollabuk-do,2020-06-05,71.1
248,Jeollabuk-do,2020-06-05,76.3
251,Jeollabuk-do,2020-06-05,81.3
252,Jeollanam-do,2020-06-05,85.8
253,Gyeongsangnam-do,2020-06-05,75
254,Jeollabuk-do,2020-06-05,73.3
255,Gyeongsangnam-do,2020-06-05,72.9
257,Gyeongsangnam-do,2020-06-05,69
